[2023-02-18 23:39:44,508] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,512] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,516] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,520] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,524] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,528] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,532] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,536] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,540] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,544] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,548] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,551] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,556] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,560] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,564] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,568] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,572] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,576] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,580] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,584] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,588] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,591] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,595] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 19 with partition epoch 0, high watermark 19, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,751] INFO [Broker id=0] Finished LeaderAndIsr request in 454ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2023-02-18 23:39:44,774] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 10 with correlation id 2 (state.change.logger)
[2023-02-18 23:42:51,765] INFO [Controller id=0 epoch=11] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
